Metric,N,Mean,SD,CI_95_Lower,CI_95_Upper
TTFB,30,203.88,9.18,200.60,207.17
LCP,30,2.56,0.09,2.53,2.59
FID,30,72.99,5.24,71.11,74.86
CLS,30,0.07,0.01,0.06,0.07
