Metric,N,Mean,SD,CI_95_Lower,CI_95_Upper
TTFB,30,192.46,6.88,190.00,194.92
LCP,30,2.36,0.09,2.32,2.39
FID,30,61.92,3.11,60.81,63.03
CLS,30,0.05,0.01,0.05,0.05
